Question,Question Type,Option 1,Option 2
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
"Unknown Title
Disagreement on relevance to numerical methods and/or big data applications for deep learning.
Do you think this paper should be included?",Multiple Choice,Include,Exclude
Reasoning for your decision on: Unknown Title,Paragraph,,
